date, pm25, pm10, o3, no2, so2, co
01/12/2024,100,14,7,1,8,4
02/12/2024,55,25,8,1,3,5
03/12/2024,65,48,7,1,4,4
04/12/2024,86,39,8,1,4,4
05/12/2024,62,45,7,1,6,2
06/12/2024,77,51,7,1,5,3
07/12/2024,91,43,7,1,5,3
08/12/2024,78,55,7,1,6,3
09/12/2024,111,70,7,1,6,4
10/12/2024,142,69,7,1,5,5
11/12/2024,143,48,8,1,4,5
12/12/2024,111,61,7,1,4,4
13/12/2024,134,78,7,1,7,4
14/12/2024,159,78,7,1,4,3
15/12/2024,152,87,7,1,5,4
16/12/2024,160,83,7,1,4,4
17/12/2024,147,69,8,1,5,5
18/12/2024,116,67,7,1,6,4
19/12/2024,107,57,7,1,3,4
20/12/2024,88,61,7,1,2,4
21/12/2024,99,64,7,1,2,3
22/12/2024,105,66,9,1,4,3
23/12/2024,117,73,7,1,3,4
24/12/2024,115,51,7,1,4,3
25/12/2024,94,31,7,1,5,4
26/12/2024,62,35,7,1,3,2
27/12/2024,73,53,7,1,3,3
28/12/2024,102,52,7, , ,2
29/12/2024,99, , , , , 
01/11/2024,147,71,14,3,5,4
02/11/2024,112,54,7,3,4,5
03/11/2024,79,58,11,3,3,4
04/11/2024,77,67,11,2,5,6
05/11/2024,98,91,11,2,5,6
06/11/2024,137,79,11,2,5,6
07/11/2024,124,63,10,1,5,6
08/11/2024,93,56,11,1,5,6
09/11/2024,84,66,11,1,4,5
10/11/2024,118,76,13,1,4,6
11/11/2024,141,81,8,2,3,3
12/11/2024,148,41,13,2,3,2
13/11/2024,60,36,8,1,5,4
14/11/2024,57,37,7,1,5,3
15/11/2024,61,43,7,1,5,4
16/11/2024,68,72,7,1,4,3
17/11/2024,127,97,7,1,4,3
18/11/2024,156,88,7,1,6,4
19/11/2024,158,81,7,1,4,3
20/11/2024,156,82,7,1,7,5
21/11/2024,146,82,13,1,4,4
22/11/2024,147,81,13,1,1,3
23/11/2024,147,71,10,1,4,2
24/11/2024,140,65,7,1,5,3
25/11/2024,132,71,7,1,5,4
26/11/2024,148,81,7,1,5,4
27/11/2024,160,81,7,1,5,4
28/11/2024,157,73,7,1,4,3
29/11/2024,141,54,7,1,3,3
30/11/2024,117,28,7,1,5,2
01/10/2024,94,32,8,3,3,9
02/10/2024,70,22,7,3,2,4
03/10/2024,58,33,7,3,4,2
04/10/2024,82,18,7,3,5,3
05/10/2024,61,35,7,3,4,3
06/10/2024,80,63,7,3,4,3
07/10/2024,130,42,7,3,4,3
08/10/2024,88,40,7,3,4,3
09/10/2024,76,34,7,2,2,2
10/10/2024,75,34,7,2,4,3
11/10/2024,85,21,7,2,3,2
12/10/2024,59,18,7,2,4,2
13/10/2024,45,24,7,2,5,3
14/10/2024,52,11,7,1,3,3
15/10/2024,44,17,7,1,2,3
16/10/2024,55,18,7,1,1,2
17/10/2024,47,23,7,1,4,3
18/10/2024,44,33,7,7,4,4
19/10/2024,58,30,7,5,2,3
20/10/2024,65,31,7,2,3,3
21/10/2024,64,24,7,2,4,4
22/10/2024,46,40,10,4,4,4
23/10/2024,72,44,10,5,5,6
24/10/2024,74,69,8,5,4,5
25/10/2024,106,91,10,5,4,6
26/10/2024,149,84,6,3,3,5
